CONTEXT;DATA;HTTP STATUS;COUNT
/oauth2/token;10/Apr/2018;200;4275
/oauth2/token;10/Apr/2018;400;2270
/platform/enabler/iam/token/generate/;10/Apr/2018;200;14689
/platform/enabler/iam/token/generate/;10/Apr/2018;400;9
/platform/enabler/iam/token/generate/;10/Apr/2018;429;1
/platform/enabler/iam/token/generate/;10/Apr/2018;502;1
/platform/enabler/iam/token/revoke/;10/Apr/2018;200;90
/vertical/sisal/sm/challenge/;10/Apr/2018;200;17
/vertical/sisal/sm/challenge/;10/Apr/2018;201;107
/vertical/sisal/sm/challenge/;10/Apr/2018;400;13
/vertical/sisal/sm/challenge/;10/Apr/2018;401;4
/vertical/sisal/sm/checkuser/;10/Apr/2018;200;138
/vertical/sisal/sm/checkuser/;10/Apr/2018;401;19
/vertical/sisal/sm/checkuser/;10/Apr/2018;404;1549
/vertical/sisal/sm/credentials/change/;10/Apr/2018;201;5
/vertical/sisal/sm/credentials/change/;10/Apr/2018;502;2
/vertical/sisal/sm/credentials/forgot/;10/Apr/2018;201;207
/vertical/sisal/sm/credentials/forgot/;10/Apr/2018;400;13
/vertical/sisal/sm/credentials/forgot/;10/Apr/2018;401;5
/vertical/sisal/sm/credentials/forgot/;10/Apr/2018;404;2
/vertical/sisal/sm/credentials/reset/;10/Apr/2018;200;123
/vertical/sisal/sm/credentials/reset/;10/Apr/2018;201;127
/vertical/sisal/sm/credentials/reset/;10/Apr/2018;400;68
/vertical/sisal/sm/credentials/reset/;10/Apr/2018;401;1
/vertical/sisal/sm/mobile/;10/Apr/2018;200;4456
/vertical/sisal/sm/mobile/;10/Apr/2018;401;16
/vertical/sisal/sm/mobile/;10/Apr/2018;404;2
/vertical/sisal/sm/mobile/;10/Apr/2018;500;1
/vertical/sisal/sm/registrations/;10/Apr/2018;200;413
/vertical/sisal/sm/registrations/;10/Apr/2018;201;2061
/vertical/sisal/sm/registrations/;10/Apr/2018;400;442
/vertical/sisal/sm/registrations/;10/Apr/2018;401;24
/vertical/sisal/sm/registrations/;10/Apr/2018;403;1
/vertical/sisal/sm/registrations/;10/Apr/2018;404;4
/vertical/sisal/sm/registrations/;10/Apr/2018;409;24
/vertical/sisal/sm/registrations/;10/Apr/2018;500;2
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;200;393
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;201;608
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;400;303
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;401;15
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;403;1
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;404;1
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;409;3
/vertical/sisal/sm/registrations/finalize/;10/Apr/2018;500;2
/vertical/sisal/sm/registrations/verify-otp/;10/Apr/2018;201;697
